topicId,word
0,time
0,people
0,company
0,did
0,writing
0,real
0,way
0,used
0,let
0,cassandra
0,soundcloud
0,successful
0,know
0,web
0,organization
0,audio
0,lives
0,swift
0,stuck
1,process
1,development
1,delivery
1,platform
1,developer
1,continuous
1,testing
1,rapidly
1,deployment
1,implementing
1,release
1,demonstrate
1,paas
1,advice
1,hard
1,light
1,predictable
1,radically
1,introduce
2,way
2,open
2,space
2,kind
2,people
2,change
2,meetings
2,ll
2,lead
2,powerful
2,practice
2,times
2,everyday
2,simple
2,qconlondon
2,organization
2,unconference
2,track
2,extraordinary
3,apache
3,apis
3,processing
3,open
3,spark
3,distributed
3,leading
3,making
3,environments
3,solr
3,cases
3,brooklyn
3,components
3,existing
3,ingestion
3,contributing
3,data
3,target
3,evolved
4,management
4,million
4,effective
4,cost
4,halo
4,gameplay
4,player
4,billion
4,ad
4,catastrophic
4,store
4,microsoft
4,final
4,music
4,influence
4,information
4,launch
4,research
4,purchased
5,product
5,look
5,like
5,use
5,talk
5,problems
5,working
5,analysis
5,projects
5,challenges
5,2011
5,functionality
5,useful
5,spread
5,business
5,deep
5,inside
5,happens
5,sensemaker
6,ll
6,computers
6,started
6,principles
6,free
6,focus
6,face
6,smaller
6,atlas
6,control
6,uses
6,products
6,avoid
6,computing
6,ground
6,billions
6,mean
6,volume
6,consistently
7,code
7,end
7,users
7,developers
7,just
7,application
7,way
7,line
7,apps
7,mobile
7,features
7,sites
7,hours
7,issues
7,applications
7,write
7,faster
7,game
7,better
8,ve
8,development
8,teams
8,use
8,things
8,world
8,like
8,time
8,learned
8,lessons
8,think
8,methods
8,multiple
8,story
8,say
8,customer
8,developer
8,experiences
8,organisations
9,software
9,building
9,docker
9,built
9,challenges
9,monitoring
9,gilt
9,application
9,discuss
9,solution
9,decision
9,talk
9,download
9,source
9,center
9,critical
9,decisions
9,bintray
9,customers
10,years
10,infrastructure
10,tools
10,language
10,different
10,service
10,lot
10,devops
10,talk
10,adoption
10,scala
10,popular
10,clojure
10,advantages
10,introduced
10,effectively
10,looking
10,wasn
10,includes
11,high
11,does
11,latency
11,session
11,requirements
11,functional
11,performance
11,real
11,world
11,questions
11,problem
11,second
11,engineering
11,patterns
11,gravity
11,explain
11,discuss
11,expected
11,time
12,business
12,make
12,build
12,technology
12,technologies
12,help
12,trying
12,developers
12,parts
12,want
12,interfaces
12,small
12,best
12,centres
12,implementations
12,critical
12,moo
12,databases
12,going
13,need
13,design
13,systems
13,large
13,driven
13,scale
13,software
13,applications
13,slow
13,protocol
13,change
13,needs
13,approach
13,gets
13,new
13,contracts
13,solutions
13,complicated
13,distributed
14,architecture
14,service
14,micro
14,architectures
14,increasing
14,talk
14,microservices
14,order
14,market
14,value
14,values
14,new
14,present
14,presents
14,services
14,scalable
14,trading
14,practices
14,today
15,java
15,using
15,fast
15,robovm
15,lmax
15,ios
15,presentation
15,really
15,jvm
15,native
15,best
15,exchange
15,azul
15,hardware
15,started
15,project
15,slowdowns
15,goal
15,bring
16,data
16,services
16,using
16,traditional
16,create
16,ways
16,support
16,uk
16,large
16,user
16,person
16,complex
16,systems
16,production
16,impact
16,art
16,organizations
16,accessing
16,mirage
17,agile
17,team
17,experience
17,don
17,work
17,doing
17,processes
17,based
17,key
17,reach
17,extra
17,defined
17,pressure
17,machines
17,nightmare
17,practices
17,learn
17,goals
17,guidance
18,internet
18,new
18,devices
18,programming
18,things
18,iot
18,big
18,number
18,deliver
18,day
18,connected
18,performing
18,growing
18,got
18,state
18,thing
18,provided
18,times
18,automated
19,cloud
19,including
19,deploy
19,session
19,api
19,government
19,security
19,culture
19,software
19,type
19,attack
19,techniques
19,environment
19,digital
19,secure
19,microservice
19,better
19,creation
19,interaction
